Ray 1, Branch 1 of 1:
Seg# 	 Prnt 	 Levl 	 In 	 Hit 	 Face 	 XRTS 	DGEF 	 BZ	                 X	                Y	                Z	                 L	                M	                N	                Nx	               Ny	               Nz	          Path To	            Phase	               Exr	              Exi	              Eyr	              Eyi	              Ezr	              Ezi 	         Intensity 	 Comment
   0 	   0 	   0 	   0 	   0 	   0 	 ---- 	----	 --	  -1.385930023E+02 	  6.929599762E+01 	  2.500000000E+00 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	                 -                 	-                 	- 	                -	                -	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Source 1: 
   1 	   0 	   1 	   0 	  12 	   0 	 --*- 	----	 --	  -1.385930023E+02 	  6.929599762E+01 	  0.000000000E+00 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	   0.000000000E+00 	  0.000000000E+00 	  1.000000000E+00 	   2.500000000E+00	  -1.570796371E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 AoI test surface
   2 	   1 	   2 	   0 	  13 	   0 	 -*-- 	----	 --	  -1.385930023E+02 	  6.929599762E+01 	 -4.076806335E+02 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	  -3.587738872E-01 	 -3.631408215E-01 	 -8.598895669E-01 	   4.076806335E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 M1_1K_01um.step
   3 	   2 	   3 	   0 	  16 	   0 	 --*- 	----	 --	   2.329822922E+01 	  2.331577454E+02 	 -2.820480957E+02 	   6.170118451E-01 	  6.245220304E-01 	  4.788200855E-01 	   0.000000000E+00 	  9.897762537E-01 	  1.426289380E-01 	   2.623794538E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 CS Aperture
   4 	   3 	   4 	   0 	  14 	   0 	 -*-- 	----	 --	   2.014685822E+02 	  4.134967651E+02 	 -1.437824249E+02 	   6.170118451E-01 	  6.245220304E-01 	  4.788200855E-01 	  -5.488923192E-01 	 -4.198915958E-01 	 -7.227781415E-01 	   2.887632810E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 M2_1K_01um.step
   5 	   4 	   5 	   0 	  21 	   0 	 --*- 	----	 --	   3.097471237E+01 	  3.446090393E+02 	 -5.029068298E+02 	  -4.225741327E-01 	 -1.707403064E-01 	 -8.901004791E-01 	   7.688335776E-01 	  3.120211884E-02 	  6.386872530E-01 	   4.034650129E+02	  -3.340010881E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Dichroic ZYZ RF
   6 	   5 	   6 	   0 	  23 	   0 	 --*- 	----	 --	   3.094731331E+00 	  3.333441772E+02 	 -5.616325684E+02 	  -4.225741327E-01 	 -1.707403064E-01 	 -8.901004791E-01 	   0.000000000E+00 	  4.293450117E-01 	  9.031405449E-01 	   6.597653238E+01	  -2.096419573E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 ONFP w/Y TRANS
   7 	   6 	   7 	   0 	   0 	   0 	 *--- 	----	 --	  -2.452570343E+01 	  3.221842041E+02 	 -6.198116455E+02 	  -4.225741327E-01 	 -1.707403064E-01 	 -8.901004791E-01 	                 -                 	-                 	- 	   6.536236252E+01	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Missed

Ray 2, Branch 1 of 1:
